date,asia_ret,europe_ret,us_ret,corr_ae,corr_eu,corr_ua,pred_score
1990-01-02,0.0,,,,,,
1990-01-03,-0.0031507197791358203,0.012170146824967398,-0.00031928588101675997,,,,
1990-01-04,0.005932650296626002,-0.0015955503299953835,-0.00530280629610088,,,,
1990-01-05,-0.004797014044115032,-0.008578414974987184,-0.00605719530118466,,,,
1990-01-06,0.0006785064464406833,0.0,0.0,,,,
1990-01-08,0.001298518635752633,-3.2660089404766795e-05,0.0029430275473430597,,,,
1990-01-09,-0.005519313544690183,0.004515450865058884,-0.0076337991674486,,,,
1990-01-10,0.0013637330104849666,-0.006515933876134856,-0.01089622621730886,,,,
1990-01-11,0.0050333369298887,0.00743138438897915,-0.00215434954474296,,,,
1990-01-12,0.0015969765105855668,-0.008977531830246766,-0.02325806178561456,,,,
1990-01-13,-0.0022497981306981835,0.0,0.0,,,,
1990-01-15,-0.003704955418151817,-0.0063514247405904835,-0.00751122383387694,,,,
1990-01-16,-0.009978749547934283,-0.01584373458899675,0.0101409286959433,,,,
1990-01-17,-0.0052966726787865995,0.007815909439112917,-0.0062595726945716785,,,,
1990-01-18,0.0031379256499961174,-0.012421548553218283,-0.00047191105644260004,,,,
1990-01-19,-0.0031767246739372664,-0.0006248785839883668,0.00711132691803648,,,,
1990-01-20,0.0009131813537459668,0.0,0.0,,,,
1990-01-22,0.012674974974727235,-0.0034801970030378503,-0.02378419865340494,,,,
1990-01-23,0.004724934264240866,-0.00018070563948359994,-0.0002452105279255998,,,,
1990-01-24,-0.003465367296523083,-0.018209452536436584,-0.00739147351062186,,,,
1990-01-25,0.0018374121220001332,0.008927661525212916,-0.00738739875739224,,,,
1990-01-26,-0.0005365632321150666,0.0012316294092767272,-0.006328293984676281,,,,
1990-01-29,0.001357330201102583,0.006402782887372101,-0.00569939749701508,,,,
1990-01-30,-0.005241577916157183,-0.00011899177842862162,-0.0131433969839253,,,,
1990-01-31,-0.00224744524274505,0.0023797967152291333,0.01506955546368772,,,,
1990-02-01,0.0009939836552274332,0.008782330303039034,0.0029002928925333004,,,,
1990-02-02,0.0007945485720308164,0.016230768065401167,0.00927723303301198,,,,
1990-02-03,-0.005435596060253533,0.0,0.0,,,,
1990-02-05,0.007629325562689749,0.005018229567116884,0.00521390631077446,,,,
1990-02-06,0.0016127456332714668,-0.0042520965084033,-0.00422096524863228,,,,
1990-02-07,-0.002501991646683867,-0.011862731946866434,0.0097336999289353,,,,
1990-02-08,-0.0007187211093296168,0.008308054965057534,0.00099537062033524,,,,
1990-02-09,0.0020452466844862165,-0.007769857772816933,0.00318121732315836,,,,
1990-02-10,-6.012678101133377e-06,0.0,0.0,,,,
1990-02-12,0.001338802564234717,-0.012809622160208686,-0.00784704885009628,,,,
1990-02-13,-0.007470747366083711,-0.0057462731144650335,0.00057899618555808,,,,
