date,PC1_RISK APPETITE,PC2_DOLLAR STRENGTH,PC3_RISK APPETITE,PC4_MIXED,PC5_MIXED
1995-01-02,0.06485860827560032,0.4547859506317309,-0.29119492449282774,-0.08504943530896089,0.44798343037118743
1995-01-03,-0.8328791529143015,2.0358911849697163,0.0011880047490592793,-0.13912629308087565,-0.43365942228468823
1995-01-04,-0.7819338260975911,1.2526221861451154,0.6745628555248241,-0.3613012075629903,-0.10844546106660446
1995-01-05,-0.6088287784955323,1.0456222522938474,-0.16862508921976427,-0.3550755191194526,-0.1311021072821805
1995-01-06,-0.5177915651310478,0.9309019971936541,0.32375395030054765,-0.4983971304591684,0.10812539021300863
1995-01-07,-0.5156860859387541,0.8304386079536412,0.3910628078064968,-0.42152217489703825,0.018888108134433035
1995-01-09,-0.2820472914288775,0.010454310851720416,-0.13897500568087287,-0.4336227380883078,-0.2354987529778417
1995-01-10,-0.12283196494822493,-0.3349384768352022,-0.4547107007051827,-0.49233239432064835,-0.38427327381027804
1995-01-11,-0.2190939653038575,-0.6221076054708152,0.10065565370130314,-0.5229789460916416,-0.19039589910258642
1995-01-12,-0.38349688035664675,-0.9378633441557411,-0.5960043788832701,-0.2666986405654976,-0.6218900765157638
1995-01-13,-0.821595086668599,-1.4520711804739252,0.18762787410568754,-0.7290123047987848,-0.7559051495255014
1995-01-14,-0.7285157281720404,-1.3414950800010952,0.6470656607122155,-0.7079159206777478,-0.24340670936936487
1995-01-16,-0.43614947485210553,-1.0379897723837161,0.6593811764669881,-0.39152597378022,-0.3662184289989815
1995-01-17,-0.13929315625163058,-0.7082254129279101,0.3484371517138384,-0.211941503987439,-0.01446330095443269
1995-01-18,0.17812923920055887,-0.5214143602885012,0.5734969137150596,-0.30618484018862385,0.4468813640233737
1995-01-19,0.5487445914452828,-0.12063415030478808,-0.701453799087922,0.04133683210246455,0.43792431606410254
1995-01-20,0.35929016390332047,0.030610343745960788,-1.2901871071515636,-0.07284045259298888,0.3484451454474008
1995-01-21,0.005557951181060211,0.16205159564977165,-1.4143125102648657,-0.24771728496745887,0.5037989914673755
1995-01-23,-0.63079490238876,0.6023578566915864,-1.4851920709327122,-0.914522830191334,-0.2843706469566055
1995-01-24,-0.522188207839165,0.5837686538193542,-1.4601354739836458,-0.9439240383915333,-0.395722325104341
1995-01-25,-0.5779066184565307,0.698113410497313,-0.5345659772196192,-0.7220347106231867,-0.3450609564424319
1995-01-26,-0.44850573656249776,0.029065542029453616,0.3845158927258509,-0.5475387636160062,-0.1389110050891401
1995-01-27,-0.9048317789588494,-0.393358506530808,1.042138810716827,-0.5131004603165547,-0.27704563282796213
1995-01-28,-0.4254365066108445,-0.9779525334318819,1.4237800704481849,0.15957498978999146,0.0073058420714663145
1995-01-30,-0.801906788670885,-1.0206017681770605,1.1175489784427712,0.6400356695831547,-0.32449911323268055
1995-01-31,-0.7969544079309371,-0.8060798302942928,1.0489792935171482,0.21790999004972061,0.14806313981280264
1995-02-01,-0.4785332108706385,-0.0344946966796225,0.7166485453132999,0.2210547878462738,-0.12323764765733983
1995-02-02,0.2932734659885115,0.27883302440355573,0.0266695481179162,0.30615169673237963,0.05431703152936672
1995-02-03,0.16710922451861973,-0.16929394463257497,0.8587401002056756,0.13875712667357526,0.23824940694922375
1995-02-04,0.32471755484346704,-0.08094863922700757,1.1600823198573882,-0.20803274200484806,0.43843966439667775
1995-02-06,0.7128017040192179,-0.2504453984599695,0.8897685004058833,0.3034236101260883,-0.01905753634410238
1995-02-07,0.16669332110755497,-0.5226511304046615,1.364211069586879,0.17937644007747716,0.0943040953769688
1995-02-08,-0.20722934873219184,-0.47974403845438696,1.2354515838743656,-0.0011669326787266733,-0.1543704732792328
1995-02-09,0.17372657215016934,0.0976316432851908,0.3097444563426071,0.1867086463853413,-0.29355820204615946
1995-02-10,0.5259191314714141,0.19740714891484054,-0.0655491749659614,0.1378549016599997,-0.3614419867688753
1995-02-11,0.23073315586474438,0.1687395183400748,-0.17632287795439439,-0.12437876323322379,-0.2880988152358003
