date,PC1_RISK APPETITE,PC2_DOLLAR STRENGTH,PC3_RISK APPETITE,PC4_MIXED,PC5_MIXED
1995-01-02,0.06485860827560032,0.4547859506317309,-0.29119492449282774,-0.08504943530896089,0.44798343037118743
1995-01-03,-1.7306169141042034,3.6169964193077013,0.2935709339909463,-0.19320315085279044,-1.3153022749405638
1995-01-04,-0.6800431724641702,-0.31391581150408593,2.0213125570763535,-0.8056510365272196,0.5419824613695631
1995-01-05,-0.0895136356893558,0.42462245074004334,-2.6981889234535292,-0.33639845378883965,-0.1990720459289086
1995-01-06,-0.15364271167311014,0.472020976792881,2.2932701083817952,-1.0716835758180316,1.065035380193765
1995-01-07,0.07538600423706886,-0.04753099556833328,0.04534936303691808,0.2993253425016899,0.0017970199783094954
1995-01-09,-0.5624229415548203,-0.48292506620190306,-2.356618133445902,-0.25370596680913826,-2.5872365805019375
1995-01-10,0.11603345993909281,-2.040879749938699,0.44263408195480436,-1.0991993176889219,-0.20189014279261885
1995-01-11,-0.5708236374675186,-1.0112231924380217,0.07864284857889994,-0.4896312126438063,0.77031482760955
1995-01-12,-0.9756572869370564,-1.106757716631749,-1.1900300545410705,0.20971795181268854,-1.0924355068721217
1995-01-13,-2.1151050273226923,-2.6185701771592544,3.963510627981706,-2.012242978664746,-0.6682783450703783
1995-01-14,-0.09702614907202732,0.06995543616224864,-0.059429200413262356,-0.14822404620395316,-0.02474437972125524
1995-01-16,1.5778647265387666,-0.5233532118518041,0.5042116607286679,0.48275041679871694,-0.8159487409407021
1995-01-17,0.9134579555348565,0.6375986048410085,-1.476077275186849,0.4082911363200986,2.529090467832294
1995-01-18,0.6114546903238909,-0.17270245343470467,-0.06473124453496412,-0.2614987291932355,1.2142878180169105
1995-01-19,-0.2620282660990729,-0.6146691272406888,-2.411242936033202,-0.2746346172093043,-0.7130635848667345
1995-01-20,-1.0442982867818387,0.826177906415993,-3.0030957407314705,-0.7191104696812203,-0.4721402328047639
1995-01-21,-0.19079633707253454,0.13385304766725029,-0.11641535483784216,-0.39163374507363313,-0.03917951084082862
1995-01-23,-2.2683063123142446,2.8391299100500818,-1.8304750785260826,-2.925736589799277,-1.4117577242876111
1995-01-24,1.154488163071866,-0.2656484677958652,0.06055174021036931,-0.4085047701942319,0.6575294272782328
1995-01-25,-0.5406203191859008,-0.04294534385089444,2.2166045477869307,0.8348120216324283,-0.4597567415571887
1995-01-26,-0.39729387731167465,-2.5190614359233043,1.5923136089958796,0.15336926535468237,0.5586095239616952
1995-01-27,-2.4724265490542923,-1.9782671951340578,3.1716992351170377,-0.2194422285763753,-0.7298526495349389
1995-01-28,0.12867004942577945,-0.08384022445528799,0.07773122013070713,0.4376406607334539,0.009999650209531292
1995-01-30,-0.7278632472283363,-0.4788946415217582,-1.4706037198166984,1.9937986287715848,-1.0014953492425014
